[],"RT @pinto_fmariana: vcs dizem coisas tão lindas às vossas miúdas bro , nunca ninguém me disse nada assim , será que o problema sou mesmo eu…",_carolina_61,"Abrantes, Portugal"
[],"RT @badwknd: Point positif dans cette histoire du Corona virus : les gens se décident ENFIN à être propre, à se désinfecter et se laver les…",AlexandreRktmz,in Christ
[],RT @JaysVillas1: The Corona virus after landing safely at OR Tambo https://t.co/IqTMRwOJM8,kaypeemac,JHB ||MUTARE
[],RT @Taykra: Krisenstab wegen Corona-Alarm am Rhein: Köln kämpft gegen Corona - Das Bücherfestival https://t.co/6chQAnLXLF soll wie geplant…,Hase_Zwo,Rechtstwitter 💙
[],RT @nabeeeland: damn can someone take me out before corona does https://t.co/KRM0cLZvPE,sameehahaha,"Johannesburg, South Africa"
[],"RT @lenlucas46: Tell me, Congressman.

Why is it that we seem to come up with a new killer virus every election cycle?

SARS ———2004
AVIAN—…",Rick95648, 
[],RT @danitegon: Camisinha no dedo por causa de corona mas não no pau com as taxas de IST absurdas vcs me matam de cringe,julhawhois,
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",mariana1_601,mafra
[],RT @universitariaOF: Brasil confirma 4 caso do corona vírus no país https://t.co/jKXWR9nmYx,manuelapinheir0,
"['coronavirus', 'COVID19']","#coronavirus #COVID19 

Für alle Schutzmasken- und Desinfektionsmittel-Bunkerer ein Rechtshinweis aus aktuellem Anl… https://t.co/GOpQDCPWDF",SteveJRitter,
[],"@mandicas_ Eu não sei se todo mundo aqui tá pirando. Mas já ouvi gente falando ""ah, sem abraços pois perigoso"". Só… https://t.co/vq335Rnb8n",pollyanapeach,"Cuiabá, MT"
[],RT @adazzlinhaze: MORE PEOPLE DIE FROM THE REGULAR FUCKING FLU EVERY YEAR THAN THE NUMBER OF PEOPLE WHO HAVE DIED FROM THE CORONA VIRUS JUS…,ArmaniLadow,
[],"RT @Mattomaha1: Dear God,
I have not believed in you since I was a child but if you smite every Twitter account that makes Harry Potter ref…",Jawn_Climax,The realm of the senses
[],RT @EFFSouthAfrica: EFF Statement on Corona Virus Outbreak https://t.co/hQVrEWQDlj,BapelaMzet,"Mpumalanga, South Africa"
[],RT @Chris91138742: @BrettCMajor1 LIBS did a very good job at trashing Canada before corona.  Now they can blame the mess of the disease ins…,Glen51023001,
[],"RT @Gama_Maverick: Rest of the world: How are you going to deal with the Corona Virus 

South Africans: 

 https://t.co/ovhGgntvQl",MraraAhluma,
['coronavirus'],RT @levipulk: Reporting this piece for @Crosscut earlier in the week was a window on how the lack of good knowledge about #coronavirus — in…,mason__bryan,Seattle
[],RT @djcarnage: y’all scared of corona but still sharing juul’s??,kylebarreca,"Orlando, Florida"
[],"RT @caliskanerh: Corona virüsüne dair hazırlanmış en iyi video.
Nasıl korunmamız gerektiğini de çok net anlatmış.
Bizi bu virüsten kelle pa…",nturunc,
[],"@maiconkusterkkk ja q o simbolo da empresa q esta procurando a cura pro corona virus e igual ao da umbrella, e só c… https://t.co/V8NEeRef9f",ruanp9,"Pedro Leopoldo, Brasil"
[],"RT @Chequevera06: Corona buraya geldiğine geleceğine pişman olur, maskara ederiz biz onu.... https://t.co/SHbOMOgXoP",ceyhun_ertunc,
[],"caso suspeito de corona virus na minha cidade uau
mt bom pra mim que sou hipocondríaca",little_claridad,fundo do poço
[],RT @adazzlinhaze: MORE PEOPLE DIE FROM THE REGULAR FUCKING FLU EVERY YEAR THAN THE NUMBER OF PEOPLE WHO HAVE DIED FROM THE CORONA VIRUS JUS…,LesRosess,
[],"RT @DinkesBanten: Warga Banten, Berikut adalah Call Center untuk kasus Virus Corona (Covid-19). Jangan panik, tetap waspada, dan melakukan…",imadudinabd,Kota Serang
[],RT @sathiyamnews: இந்தியாவில் கொரோனா வைரஸ் அறிகுறிகள் தெரிந்துள்ள நிலையில் இந்த வைரஸ் தாக்குதலிலிருந்து விழிப்போடு செயல்படுவதற்கு சில ஆலோச…,iranjidh,"பெரம்பலூர், சென்னை, தமிழ்நாடு"
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",filterpjmh,"Puerto Rico, USA"
[],RT @HusinShihab: Kalau menjalankan fungsi pengawasan sbg anggota @DPDRI dgn menyebarkan HOAX itu sama saja menurunkan kredibilitas Senator.…,NKRI811010,
[],"RT @jaboukie: if i got corona i wouldn’t be that mad tbh. quarantine would give me a lot of time to catch up on shows and stuff, read, writ…",xxxxlw,"Wakefield, England"
[],"RT @tedlieu: Dear @foxnewsdesk: You have the right to invite misinformed people, including @realDonaldTrump, to spew false information on y…",MerelynSpears,california
[],@MichelleAMilew Corona Virus?,JRWeigand,Auburn & Rome NY
[],"DO You Know
Incubation period of corona Virus is 1-14 Days.
Career Hub
Salute's only real Dr . . .… https://t.co/8lZl7Jrzcy",addcareerhub,bhopal
[],RT @baldboyblues: kim kardashian please tweet “Corona virus is real 🌎💔” the world needs you more than ever right now......,rainberriesx,Princess Park
[],RT @Penxenxe: A man brought the corona virus to SA. Asisipho was right. Asifuna sifile 😭,LungiM93,Your heart
[],"RT @ajlkn: To everyone about to join the corona work from homeforce:

- Resist the urge to work in your pajamas
- Keep fixed working/nonwor…",nick_kimuli,"Nairobi, Kenya"
['kumparanNews'],RT @kumparan: Bandara Kualanamu ingin memastikan penumpang terhindar dari virus corona. #kumparanNews. https://t.co/zPtX10xlHx,Mukhlis_Mumz,Indonesia
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",frugyeommma,switch
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",_SimplyPink_,Detroit
[],@oalahrizal Bisa menangkal virus Corona gan?,ArgobelAsoy,"Jawa Timur, Indonesia"
[],RT @hamzahrauff_: Corona pyaar hai,Shazia9501,
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",itsanasdf,
[],"RT @GZeroC: Corona Virus Case found in Hinjewadi Pune. Few hours back. He is TCS employee and admitted in Ruby hospital. 

TCS closed down…",BhatkarBharati,"Mumbai, India "
[],"RT @saravolas: (escola fecha p causa do corona)

alunos: https://t.co/GCegARXyec",evaluuna_07,"Sesimbra, Portugal"
[],RT @FrankFigliuzzi1: I’ve said it before: Trump is a national security threat - Trump floats his own coronavirus hunches on 'Hannity' #coro…,dwade575,
[],"RT @WanKanCHIN: The effect of the corona-virus is political and economic. It's not a medical issue. From the beginning to the end, it's not…",WAIYUEN8,
[],RT @iBluestone: Corona won’t stop the Tronce!,Kat_CRCS,"Salt Lake City, UT"
[],RT @NastyBlaq: We found something stronger than corona virus ...please RT https://t.co/lWDUEQcWcT,etoo_vibes,
[],"Corona, dlm bahasa arab qorun yg artinya kegilaan manusia terhadap materi, duniawi. Cina bisa dituduhkan golongan y… https://t.co/Rou95mSOsm",dennysukocho,Di kantong celana
[],@TVP_Windsor All do something sky wanna justice soon so more can be ok all talk evidence every were they traffic ch… https://t.co/7QUspmy87z,1k1Kardo1,London 
"['Misinformation', 'science', 'EvidenceMatters']","RT @MAhealthforkids: Just say no to #Misinformation.
We ALL must speak up &amp; spread credible #science because #EvidenceMatters.

In the same…",docladyblade,West Texas
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",lnoodledoodle,Always Swimming
[],RT @TrollFootball: People when they normally get sick vs People when they get sick via Corona Virus https://t.co/zyHL6k2Xcz,SPEEDEVIL2012,"Gloucester, England"
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",jenniiferrgomez,"Houston, TX"
[],RT @dennaodavid: Queria que o Corona vírus fosse sexualmente transmissível pq pelo menos eu estaria 100% seguro,aestheticperry,marvel and dc 
